Episode,Reward
0,-658.4205018757759
1,-736.2563633013923
2,-678.9981312136374
3,-744.9408986038394
4,-751.4687661043312
5,-752.7408262393582
6,-580.1030831468706
7,-624.1287800387818
8,-820.813223404035
9,-662.5398340525438
10,-673.1015620976934
11,-689.7032920471153
12,-668.012340207328
13,-594.6544658514166
14,-727.4343748647872
15,-669.767188607945
16,-666.43440511462
17,-693.9064490240072
18,-744.7487648687941
19,-626.747828428867
20,-552.2190812744315
21,-795.6374226711029
22,-642.0133954939112
23,-566.8562075684949
24,-695.4191471695913
25,-822.8004054464044
26,-654.3373139891045
27,-722.2631890641153
28,-763.7303203363255
29,-778.4056110095015
30,-683.2576663733885
31,-644.3644345498064
32,-654.291597123493
33,-637.0752454268985
34,-667.0911741119473
35,-698.0716876310461
36,-810.929089868027
37,-725.9895291416979
38,-663.477411956551
39,-538.2820257905307
40,-652.2072962190508
41,-774.2179751224402
42,-622.6314216281066
43,-802.2705112097233
44,-668.8416468415785
45,-632.2919626667401
46,-596.6124367075697
47,-637.2759667745498
48,-696.4617589430674
49,-654.1320005012049
50,-725.0525019720837
51,-572.1263666821434
52,-568.4379181641308
53,-629.720955861132
54,-594.3209917107937
55,-704.2203407658589
56,-590.7506748041933
57,-680.2265551337873
58,-651.2291101282912
59,-746.008113475247
60,-770.136465724961
61,-656.4554837079288
62,-645.8263320506093
63,-786.4974749486562
64,-708.2110948894383
65,-888.435180363362
66,-665.2086738845011
67,-945.6521438830953
68,-738.0789380867328
69,-696.2926657523394
70,-664.310699639937
71,-672.4254030681217
72,-632.2783039796865
73,-692.1529055687242
74,-630.0541419925527
75,-706.4607036447459
76,-550.2142927845479
77,-727.064096589248
78,-671.2730053028826
79,-605.5440686920127
80,-605.5927887458757
81,-908.3811697975922
82,-886.2784035197055
83,-700.3465662418853
84,-642.6597673917406
85,-771.4950900164671
86,-673.3498119212635
87,-698.0030513420954
88,-606.1951077890412
89,-699.7671718423201
90,-692.0255629115779
91,-686.4434169854122
92,-797.1413278427971
93,-654.0244665872756
94,-564.4881830149232
95,-645.5315340821066
96,-638.3373935980217
97,-634.6394331760334
98,-664.2406125876797
99,-681.3213822524737
100,-592.5259576445283
101,-615.2972397887535
102,-565.253242368527
103,-606.5194407835878
104,-598.9020482144359
105,-727.0359624407921
106,-708.655437500737
107,-736.4557588343012
108,-787.9879139012457
109,-753.5166845368973
110,-646.9618420142166
111,-713.1693075440734
112,-673.1065617161336
113,-682.3669833899102
114,-672.5778949614735
115,-774.8959537948904
116,-631.3430586589217
117,-666.132812494728
118,-619.4123288223568
119,-673.6254179657088
120,-628.4325092620854
121,-720.2050520081054
122,-863.6499970866467
123,-509.6700786890184
124,-620.2707336366101
125,-622.3244210275975
126,-720.164769449618
127,-692.8834841095967
128,-725.6450609504875
129,-645.1528948247146
130,-764.0412209796964
131,-555.4090419580365
132,-685.19456512158
133,-708.6308580798453
134,-672.1959077190708
135,-504.70658948481815
136,-730.793402144028
137,-562.5533307958558
138,-663.6595131431857
139,-697.2405487952533
140,-634.5832818481385
141,-795.254971714309
142,-710.6127857776925
143,-680.4950837268979
144,-607.6176651788576
145,-820.7506677447639
146,-726.7607578696234
147,-732.4369736137835
148,-594.1206218649049
149,-911.1200919610811
150,-649.1981402816465
151,-669.4800063615426
152,-745.374765914328
153,-662.3824444873433
154,-741.9339978018169
155,-690.424023973862
156,-642.2073127505195
157,-654.6261973577305
158,-718.1071812552375
159,-835.1201468430904
160,-718.9373223143803
161,-631.9981194513776
162,-927.8342395736545
163,-795.6634834058963
164,-672.3810014046541
165,-617.148317833246
166,-730.1882170761849
167,-714.315307462919
168,-667.1021559317124
169,-739.7504748492465
170,-704.6242849410247
171,-688.1809819799794
172,-739.2572840150783
173,-620.9901698949321
174,-754.1522746903584
175,-824.2206693601158
176,-790.0723348544911
177,-722.2705509177213
178,-767.1159546116781
179,-736.6762155703008
180,-600.9756075149847
181,-536.9213621747128
182,-573.1108710656692
183,-696.6195268476704
184,-658.1223185779351
185,-634.4281683621443
186,-706.1293133613336
187,-742.3677004940308
188,-622.151880824282
189,-667.6691039848819
190,-768.1198778195994
191,-638.4303888556036
192,-735.7106349106592
193,-610.1918231105826
194,-727.773294378815
195,-711.0753053065315
196,-702.3629662717088
197,-634.2192622891549
198,-711.2013166995322
199,-680.5440300082677
200,-594.9562129633473
201,-611.6679719097381
202,-603.7404936818184
203,-679.7291710447026
204,-777.9516554642252
205,-790.0920104086968
206,-687.8408440493537
207,-743.0379169324301
208,-655.0302452671297
209,-675.3960828619686
210,-580.6657259029627
211,-671.6456867224168
212,-609.3060442971212
213,-762.7052610827845
214,-695.9420612595712
215,-643.3202318060244
216,-648.8535823676093
217,-627.8291045346353
218,-718.5265448465949
219,-634.1271117671395
220,-712.9383700099355
221,-672.9403264251711
222,-646.7944800291688
223,-706.8799358972992
224,-776.5334974413767
225,-709.5763882467364
226,-600.8795647497759
227,-682.2451493729517
228,-567.2837285685969
229,-707.875369944562
230,-861.4065352475257
231,-585.9216525113601
232,-528.8010602958932
233,-606.3535752954703
234,-759.1763146409963
235,-595.3717489641975
236,-596.209812608232
237,-721.9195314723995
238,-629.5482476519617
239,-664.6329008505764
240,-757.9155198517248
241,-614.5839189126716
242,-871.5236535623179
243,-624.2992126977401
244,-583.5347248277349
245,-631.1989131305618
246,-692.8847161806216
247,-698.9277653285096
248,-714.2483693982101
249,-749.0848427844195
250,-827.0397916314778
251,-622.221124365588
252,-666.7770665996516
253,-685.0229687790677
254,-824.900500425887
255,-703.9051375976186
256,-601.7019930019442
257,-627.8761026944037
258,-676.7682320897621
259,-616.198031394302
260,-642.1449139229933
261,-684.8919905538372
262,-614.0521014333765
263,-682.5610286605919
264,-794.0622471085627
265,-738.3500249959835
266,-667.398692569858
267,-574.2807803845684
268,-707.5308674070535
269,-765.6179700521964
270,-555.4102437040873
271,-610.2381720648244
272,-686.663103815128
273,-609.7685366877803
274,-611.4856094910292
275,-728.3504392022318
276,-765.0027222112137
277,-632.0136294191014
278,-671.0152773799958
279,-706.2562087562909
280,-584.490154605871
281,-695.773826652899
282,-598.4111879018942
283,-612.4239339745902
284,-606.6193491726316
285,-741.0019255221993
286,-681.8324158737362
287,-643.8060259567014
288,-874.794346266405
289,-729.4427766153993
290,-564.6757628063191
291,-709.3704069624154
292,-809.6885039543216
293,-619.5625705297412
294,-661.6810189497103
295,-639.8398464924667
296,-600.4285909296273
297,-691.1344612475434
298,-822.662918654348
299,-701.6616662731343
300,-794.7748613742092
301,-668.5517792199441
302,-606.949026677662
303,-601.7913914316956
304,-760.8822302872663
305,-611.5925582193088
306,-748.2435834464623
307,-673.897029970482
308,-674.45137191946
309,-656.7553183640865
310,-639.7760965277199
311,-653.5506014338017
312,-793.5101869835848
313,-566.0583244467043
